osm_type,osm_id,lat,lon,housenumber,street,unit,city,state,postcode,country,full_address,nearest_segment_id,nearest_from_node,nearest_to_node,nearest_street_name,distance_to_road_m
node,4165837831,29.633872,-82.4489392,9913,Southwest 19th Lane,,Gainesville,FL,,US,"9913 Southwest 19th Lane, Gainesville FL, US",91631,84835820,84835811,Southwest 19th Lane,61.69
way,865483813,29.644203881249922,-82.34024514784684,1365,Museum Road,,Gainesville,FL,32612,,"1365 Museum Road, Gainesville FL 32612",113744,13544182408,2816068791,Museum Road,61.69
node,13514791862,29.0662214,-82.2771507,9201,Southwest 108th Place,420,Ocala,FL,34481,,"9201 Southwest 108th Place #420, Ocala FL 34481",67204,1407926528,98850575,Southwest 94th Court;Southwest 108th Street,61.72
way,525982435,29.64266092783368,-82.40077602041698,1000,Southwest 62nd Boulevard,3,Gainesville,FL,33178,,"1000 Southwest 62nd Boulevard #3, Gainesville FL 33178",108876,3575374755,3575374751,,61.75
node,13485226907,29.1274461,-82.2190499,6150,SW 60th Ave,1412,Ocala,FL,34474,,"6150 SW 60th Ave #1412, Ocala FL 34474",72349,3605917109,3605917104,Southwest 60th Avenue,61.76
node,13241547868,29.8541329,-82.5916013,9,,,,,,,9,87127,84792376,7930170695,Northwest 212 Avenue,61.77
node,13241564225,29.8522531,-82.5905521,6,,,,,,,6,112520,7930170695,84792376,Northwest 212 Avenue,61.78
way,375012580,29.631182526339614,-82.45510742796277,10600,Southwest 24th Avenue,,Gainesville,FL,32607,,"10600 Southwest 24th Avenue, Gainesville FL 32607",99363,84879435,84891975,Southwest 24th Avenue,61.79
node,4117432817,29.6417792,-82.4451426,9616,Southwest 12th Place,,Gainesville,FL,32607,US,"9616 Southwest 12th Place, Gainesville FL 32607, US",92232,84838334,84838335,Southwest 12th Place,61.8
way,257707418,29.638822708830084,-82.34240661249746,1515,Southwest Archer Road,,Gainesville,,32608,,"1515 Southwest Archer Road, Gainesville 32608",106097,1382202036,1382202028,Archer Road,61.91
node,4202727298,29.6343476,-82.4355349,1927,Southwest 88th Street,,Gainesville,FL,,US,"1927 Southwest 88th Street, Gainesville FL, US",103331,84912740,4340264794,Southwest 88th Street;Southwest 17th Avenue,61.95
